epoch,accuracy,loss,val_accuracy,val_loss
0,0.35095489025115967,1.3289157152175903,0.36023053526878357,1.2919032573699951
1,0.6363133192062378,0.9964501857757568,0.6282420754432678,0.9371397495269775
2,0.7863271236419678,0.5874034762382507,0.6541786789894104,0.8413127064704895
3,0.845834493637085,0.41489723324775696,0.6858789920806885,0.8249637484550476
4,0.8796014189720154,0.33112967014312744,0.6657060384750366,0.8857627511024475
5,0.9114309549331665,0.2633371353149414,0.6599423885345459,0.9141586422920227
6,0.9285911917686462,0.21338830888271332,0.6657060384750366,0.9725130796432495
7,0.9404926896095276,0.18694770336151123,0.6599423885345459,1.0320959091186523
8,0.9496263265609741,0.1592344343662262,0.6887608170509338,1.07240629196167
9,0.9573761224746704,0.1413033902645111,0.6628242135047913,1.140362024307251
10,0.9637420177459717,0.12121188640594482,0.6714697480201721,1.1878304481506348
11,0.9678937196731567,0.11078742891550064,0.6628242135047913,1.2584342956542969
12,0.9695543646812439,0.09957555681467056,0.6628242135047913,1.3160576820373535
13,0.9703847169876099,0.09346707165241241,0.6685879230499268,1.3365581035614014
14,0.9723221659660339,0.08807431161403656,0.6685879230499268,1.3903768062591553
15,0.9723221659660339,0.08770092576742172,0.6772334575653076,1.4180243015289307
16,0.9759202599525452,0.08102408051490784,0.6599423885345459,1.4855254888534546
17,0.9748131632804871,0.08175147324800491,0.6484149694442749,1.51491117477417
18,0.975089967250824,0.07514538615942001,0.6657060384750366,1.5304499864578247
19,0.9753667116165161,0.07482898235321045,0.6743515729904175,1.5434441566467285
20,0.9761970639228821,0.0703510195016861,0.6628242135047913,1.5579885244369507
21,0.976473867893219,0.06372982263565063,0.6628242135047913,1.636697769165039
22,0.9795184135437012,0.06359907984733582,0.6743515729904175,1.6253522634506226
23,0.9773041605949402,0.06486088037490845,0.6714697480201721,1.6408476829528809
24,0.977027416229248,0.06278707832098007,0.6685879230499268,1.6581528186798096
